tAtsNm,baseYmd,cnctrRate
가회민화박물관,20260809,76.03
가회민화박물관,20260810,54.54
가회민화박물관,20260811,58.58
가회민화박물관,20260812,71.79
가회민화박물관,20260813,72.64
가회민화박물관,20260814,69.87
가회민화박물관,20260815,98.73
가회민화박물관,20260816,92.58
가회민화박물관,20260817,74.88
가회민화박물관,20260818,63.34
가회민화박물관,20260819,71.94
가회민화박물관,20260820,69.46
가회민화박물관,20260821,72.95
가회민화박물관,20260822,98.28
가회민화박물관,20260823,77.29
가회민화박물관,20260824,62.09
가회민화박물관,20260825,67.67
가회민화박물관,20260826,84.41
가회민화박물관,20260827,84.55
가회민화박물관,20260828,88.33
가회민화박물관,20260829,98.89
가회민화박물관,20260830,74.34
가회민화박물관,20260831,59.87
가회민화박물관,20260901,52.39
가회민화박물관,20260902,79.12
가회민화박물관,20260903,84.14
가회민화박물관,20260904,76.92
가회민화박물관,20260905,99.77
가회민화박물관,20260906,97.15
가회민화박물관,20260907,66.68
감로암(서울),20260809,47.99
감로암(서울),20260810,62.71
감로암(서울),20260811,60.18
감로암(서울),20260812,58.92
감로암(서울),20260813,63.92
감로암(서울),20260814,59.23
감로암(서울),20260815,72.1
감로암(서울),20260816,70.68
감로암(서울),20260817,45.71
감로암(서울),20260818,62.95
감로암(서울),20260819,66.63
감로암(서울),20260820,57.88
감로암(서울),20260821,59.4
감로암(서울),20260822,56.14
감로암(서울),20260823,72.18
감로암(서울),20260824,70.84
감로암(서울),20260825,70.9
감로암(서울),20260826,64.25
감로암(서울),20260827,51.55
감로암(서울),20260828,55.02
감로암(서울),20260829,55.84
감로암(서울),20260830,71.74
감로암(서울),20260831,69.08
감로암(서울),20260901,65.45
감로암(서울),20260902,67.29
감로암(서울),20260903,78.51
감로암(서울),20260904,82.65
감로암(서울),20260905,84.52
감로암(서울),20260906,81.14
감로암(서울),20260907,79.39
경복궁,20260809,69.71
경복궁,20260810,64.72
경복궁,20260811,58.54
경복궁,20260812,72
경복궁,20260813,66.47
경복궁,20260814,66.69
경복궁,20260815,91.93
경복궁,20260816,81.42
경복궁,20260817,69.6
경복궁,20260818,56.04
경복궁,20260819,64.54
경복궁,20260820,74.33
경복궁,20260821,71.56
경복궁,20260822,91.47
경복궁,20260823,65.4
경복궁,20260824,61.86
경복궁,20260825,50.14
경복궁,20260826,59.29
경복궁,20260827,68.43
경복궁,20260828,66.48
경복궁,20260829,92.06
경복궁,20260830,62.65
경복궁,20260831,64.35
경복궁,20260901,54.5
경복궁,20260902,70.07
경복궁,20260903,74.84
경복궁,20260904,88.67
경복궁,20260905,95.57
경복궁,20260906,81.78
경복궁,20260907,72.49
경운동민병옥가옥,20260809,72.12
경운동민병옥가옥,20260810,65.66
경운동민병옥가옥,20260811,79.24
경운동민병옥가옥,20260812,83.83
경운동민병옥가옥,20260813,79.86
경운동민병옥가옥,20260814,80.82
경운동민병옥가옥,20260815,97.81
경운동민병옥가옥,20260816,86.78
경운동민병옥가옥,20260817,69.67
경운동민병옥가옥,20260818,73.89
경운동민병옥가옥,20260819,79.55
경운동민병옥가옥,20260820,82.42
경운동민병옥가옥,20260821,82.52
경운동민병옥가옥,20260822,97.19
경운동민병옥가옥,20260823,77.98
경운동민병옥가옥,20260824,74.11
경운동민병옥가옥,20260825,79.11
경운동민병옥가옥,20260826,86.18
경운동민병옥가옥,20260827,86.43
경운동민병옥가옥,20260828,88.27
경운동민병옥가옥,20260829,97.05
경운동민병옥가옥,20260830,72.1
경운동민병옥가옥,20260831,69.98
경운동민병옥가옥,20260901,79.62
경운동민병옥가옥,20260902,94
경운동민병옥가옥,20260903,94.49
경운동민병옥가옥,20260904,82.78
경운동민병옥가옥,20260905,97.15
경운동민병옥가옥,20260906,88.81
경운동민병옥가옥,20260907,79.75
경찰박물관,20260809,62.52
경찰박물관,20260810,59.32
경찰박물관,20260811,63.33
경찰박물관,20260812,67.37
경찰박물관,20260813,72.57
경찰박물관,20260814,89.09
경찰박물관,20260815,99.01
경찰박물관,20260816,80.07
경찰박물관,20260817,57.79
경찰박물관,20260818,59.28
경찰박물관,20260819,65.62
경찰박물관,20260820,68.98
경찰박물관,20260821,75.68
경찰박물관,20260822,94.23
경찰박물관,20260823,63.46
경찰박물관,20260824,52.21
경찰박물관,20260825,56.89
경찰박물관,20260826,71.5
경찰박물관,20260827,74.36
경찰박물관,20260828,85.86
경찰박물관,20260829,96.43
경찰박물관,20260830,58.7
경찰박물관,20260831,54.77
경찰박물관,20260901,65.17
경찰박물관,20260902,60.1
경찰박물관,20260903,72.2
경찰박물관,20260904,58.97
경찰박물관,20260905,66.83
경찰박물관,20260906,60.01
경찰박물관,20260907,60.34
경희궁,20260809,76.3
경희궁,20260810,77.82
경희궁,20260811,88.84
경희궁,20260812,87.86
경희궁,20260813,98.19
경희궁,20260814,99.67
경희궁,20260815,99.1
경희궁,20260816,87.63
경희궁,20260817,79.97
경희궁,20260818,89.1
경희궁,20260819,89.41
경희궁,20260820,98.18
경희궁,20260821,99.3
경희궁,20260822,96.67
경희궁,20260823,68.54
경희궁,20260824,73.05
경희궁,20260825,86.95
경희궁,20260826,90.61
경희궁,20260827,97.61
경희궁,20260828,99.12
경희궁,20260829,89.27
경희궁,20260830,80.88
경희궁,20260831,72.68
경희궁,20260901,65.1
경희궁,20260902,66.96
경희궁,20260903,85.73
경희궁,20260904,88.26
경희궁,20260905,88.9
경희궁,20260906,66.66
경희궁,20260907,70.58
광장시장,20260809,77.13
광장시장,20260810,76.01
광장시장,20260811,77.1
광장시장,20260812,74.77
광장시장,20260813,80.27
광장시장,20260814,81.45
광장시장,20260815,93.57
광장시장,20260816,77.44
광장시장,20260817,71.9
광장시장,20260818,75.6
광장시장,20260819,74.81
광장시장,20260820,77.26
광장시장,20260821,81.28
광장시장,20260822,98.04
광장시장,20260823,73.89
광장시장,20260824,72.86
광장시장,20260825,75.98
광장시장,20260826,76.39
광장시장,20260827,76.91
광장시장,20260828,81.89
광장시장,20260829,98.12
광장시장,20260830,74.76
광장시장,20260831,74.37
광장시장,20260901,71.58
광장시장,20260902,72.8
광장시장,20260903,78.16
광장시장,20260904,79.06
광장시장,20260905,96.93
광장시장,20260906,72.99
광장시장,20260907,74.67
광화문,20260809,37.74
광화문,20260810,33.62
광화문,20260811,33.68
광화문,20260812,45.67
광화문,20260813,38.22
광화문,20260814,38.41
광화문,20260815,87.53
광화문,20260816,78.2
광화문,20260817,29.23
광화문,20260818,29.81
광화문,20260819,34.71
광화문,20260820,35.8
광화문,20260821,35.58
광화문,20260822,88.59
광화문,20260823,37.51
광화문,20260824,42.05
광화문,20260825,41.95
광화문,20260826,45.59
광화문,20260827,45.55
광화문,20260828,39.82
광화문,20260829,88.44
광화문,20260830,44.89
광화문,20260831,41.97
광화문,20260901,35.12
광화문,20260902,38.61
광화문,20260903,38.78
광화문,20260904,39.19
광화문,20260905,96.27
광화문,20260906,32.72
광화문,20260907,40.2
광화문광장,20260809,75.68
광화문광장,20260810,55.98
광화문광장,20260811,64.7
광화문광장,20260812,69.87
광화문광장,20260813,70.79
광화문광장,20260814,73.69
광화문광장,20260815,100
광화문광장,20260816,99.92
광화문광장,20260817,68.62
광화문광장,20260818,63.91
광화문광장,20260819,71.27
광화문광장,20260820,66.39
광화문광장,20260821,64.38
광화문광장,20260822,100
광화문광장,20260823,65.82
광화문광장,20260824,53.68
광화문광장,20260825,66.45
광화문광장,20260826,70.26
광화문광장,20260827,68.49
광화문광장,20260828,66.21
광화문광장,20260829,100
광화문광장,20260830,68.04
광화문광장,20260831,57.53
광화문광장,20260901,54.76
광화문광장,20260902,59.07
광화문광장,20260903,55.72
광화문광장,20260904,71
광화문광장,20260905,100
광화문광장,20260906,54.37
광화문광장,20260907,46.38
구공업전습소본관,20260809,57.04
구공업전습소본관,20260810,51.45
구공업전습소본관,20260811,64.04
구공업전습소본관,20260812,64.22
구공업전습소본관,20260813,59.47
구공업전습소본관,20260814,63.78
구공업전습소본관,20260815,74.1
