content_id,title,content_type_id,change_type,changed_columns,previous_values_json,current_values_json,baseline_snapshot,compared_at
3101922,더파더스,32,removed,,"{""content_id"": ""3101922"", ""content_type_id"": ""32"", ""title"": ""더파더스"", ""address"": ""서울특별시 종로구 창경궁로 231 (명륜4가)"", ""latitude"": ""37.5827082736"", ""longitude"": ""126.9980493367"", ""area_code"": ""11"", ""district_code"": ""110"", ""lcls_systm1"": ""AC"", ""lcls_systm2"": ""AC06"", ""lcls_systm3"": ""AC060200"", ""source_modified_at"": ""2024-08-19 18:04:49+09:00"", ""first_image_url"": """", ""thumbnail_url"": """", ""list_fetched_at"": ""2026-08-10T23:33:55.936705+09:00""}",,places_api_snapshot_11-110_20260810.csv,2026-08-21T23:48:01.792238+09:00
3378168,2024 청와대 뮤직 페스티벌,15,removed,,"{""content_id"": ""3378168"", ""content_type_id"": ""15"", ""title"": ""2024 청와대 뮤직 페스티벌"", ""address"": ""서울특별시 종로구 청와대로 1 (세종로)"", ""latitude"": ""37.5839799278"", ""longitude"": ""126.9746792089"", ""area_code"": ""11"", ""district_code"": ""110"", ""lcls_systm1"": ""EV"", ""lcls_systm2"": ""EV02"", ""lcls_systm3"": ""EV020900"", ""source_modified_at"": ""2025-08-20 18:10:00+09:00"", ""first_image_url"": ""http://tong.visitkorea.or.kr/cms/resource/67/3378167_image2_1.jpg"", ""thumbnail_url"": ""http://tong.visitkorea.or.kr/cms/resource/67/3378167_image3_1.jpg"", ""list_fetched_at"": ""2026-08-10T23:33:55.936705+09:00""}",,places_api_snapshot_11-110_20260810.csv,2026-08-21T23:48:01.792238+09:00
126534,대학로,12,updated,latitude|longitude|source_modified_at|first_image_url|thumbnail_url,"{""latitude"": ""37.5805669329"", ""longitude"": ""127.0023878907"", ""source_modified_at"": ""2025-03-14 10:14:54+09:00"", ""first_image_url"": ""http://tong.visitkorea.or.kr/cms/resource/22/3384822_image2_1.JPG"", ""thumbnail_url"": ""http://tong.visitkorea.or.kr/cms/resource/22/3384822_image3_1.JPG""}","{""latitude"": ""37.580512461"", ""longitude"": ""127.0023742293"", ""source_modified_at"": ""2026-08-20 14:40:17+09:00"", ""first_image_url"": ""https://tong.visitkorea.or.kr/cms/resource/22/3384822_image2_1.JPG"", ""thumbnail_url"": ""https://tong.visitkorea.or.kr/cms/resource/22/3384822_image3_1.JPG""}",places_api_snapshot_11-110_20260810.csv,2026-08-21T23:48:01.792238+09:00
129917,갤러리 현대,14,updated,latitude|longitude|source_modified_at|first_image_url|thumbnail_url,"{""latitude"": ""37.577245641204"", ""longitude"": ""126.979787681186"", ""source_modified_at"": ""2026-02-11 08:10:09+09:00"", ""first_image_url"": ""https://tong.visitkorea.or.kr/cms/resource/50/1570450_image2_1.jpg"", ""thumbnail_url"": ""https://tong.visitkorea.or.kr/cms/resource/50/1570450_image3_1.jpg""}","{""latitude"": ""37.5773204624"", ""longitude"": ""126.9798327229"", ""source_modified_at"": ""2026-08-19 14:33:35+09:00"", ""first_image_url"": ""https://tong.visitkorea.or.kr/cms/resource/36/4101036_image2_1.jpg"", ""thumbnail_url"": ""https://tong.visitkorea.or.kr/cms/resource/36/4101036_image3_1.jpg""}",places_api_snapshot_11-110_20260810.csv,2026-08-21T23:48:01.792238+09:00
130851,동림매듭공방,14,updated,lcls_systm2|lcls_systm3|source_modified_at|first_image_url|thumbnail_url,"{""lcls_systm2"": ""VE07"", ""lcls_systm3"": ""VE070100"", ""source_modified_at"": ""2026-02-04 17:20:11+09:00"", ""first_image_url"": ""https://tong.visitkorea.or.kr/cms/resource/68/923768_image2_1.jpg"", ""thumbnail_url"": ""https://tong.visitkorea.or.kr/cms/resource/68/923768_image3_1.jpg""}","{""lcls_systm2"": ""VE12"", ""lcls_systm3"": ""VE120300"", ""source_modified_at"": ""2026-08-20 08:11:10+09:00"", ""first_image_url"": ""https://tong.visitkorea.or.kr/cms/resource/76/4101076_image2_1.jpg"", ""thumbnail_url"": ""https://tong.visitkorea.or.kr/cms/resource/76/4101076_image3_1.jpg""}",places_api_snapshot_11-110_20260810.csv,2026-08-21T23:48:01.792238+09:00
1605942,한벽원미술관,14,updated,source_modified_at,"{""source_modified_at"": ""2026-08-03 13:23:29+09:00""}","{""source_modified_at"": ""2026-08-11 16:53:52+09:00""}",places_api_snapshot_11-110_20260810.csv,2026-08-21T23:48:01.792238+09:00
1718910,템플스테이 홍보관,12,updated,content_type_id|latitude|longitude|source_modified_at|first_image_url|thumbnail_url,"{""content_type_id"": ""14"", ""latitude"": ""37.5739312489"", ""longitude"": ""126.9831814961"", ""source_modified_at"": ""2025-07-22 10:51:01+09:00"", ""first_image_url"": ""http://tong.visitkorea.or.kr/cms/resource/83/3050183_image2_1.JPG"", ""thumbnail_url"": ""http://tong.visitkorea.or.kr/cms/resource/83/3050183_image3_1.JPG""}","{""content_type_id"": ""12"", ""latitude"": ""37.5738766687"", ""longitude"": ""126.9831652256"", ""source_modified_at"": ""2026-08-20 09:47:27+09:00"", ""first_image_url"": ""https://tong.visitkorea.or.kr/cms/resource/83/3050183_image2_1.JPG"", ""thumbnail_url"": ""https://tong.visitkorea.or.kr/cms/resource/83/3050183_image3_1.JPG""}",places_api_snapshot_11-110_20260810.csv,2026-08-21T23:48:01.792238+09:00
1914920,JW 메리어트 동대문 스퀘어 서울,32,updated,address|latitude|longitude|source_modified_at|first_image_url|thumbnail_url,"{""address"": ""서울특별시 종로구 청계천로 279"", ""latitude"": ""37.5730494166645"", ""longitude"": ""127.00664629171"", ""source_modified_at"": ""2026-02-24 09:52:05+09:00"", ""first_image_url"": """", ""thumbnail_url"": """"}","{""address"": ""서울특별시 종로구 청계천로 279 (종로6가)"", ""latitude"": ""37.5704485321"", ""longitude"": ""127.0087438292"", ""source_modified_at"": ""2026-08-19 11:04:55+09:00"", ""first_image_url"": ""https://tong.visitkorea.or.kr/cms/resource/36/4100736_image2_1.jpg"", ""thumbnail_url"": ""https://tong.visitkorea.or.kr/cms/resource/36/4100736_image3_1.jpg""}",places_api_snapshot_11-110_20260810.csv,2026-08-21T23:48:01.792238+09:00
250358,서울 우정총국,12,updated,latitude|longitude|source_modified_at|first_image_url|thumbnail_url,"{""latitude"": ""37.5744228499"", ""longitude"": ""126.9827287456"", ""source_modified_at"": ""2025-03-13 17:43:16+09:00"", ""first_image_url"": """", ""thumbnail_url"": """"}","{""latitude"": ""37.5743700208"", ""longitude"": ""126.9827150109"", ""source_modified_at"": ""2026-08-20 08:22:21+09:00"", ""first_image_url"": ""https://tong.visitkorea.or.kr/cms/resource/81/4101281_image2_1.jpg"", ""thumbnail_url"": ""https://tong.visitkorea.or.kr/cms/resource/81/4101281_image3_1.jpg""}",places_api_snapshot_11-110_20260810.csv,2026-08-21T23:48:01.792238+09:00
2648460,경복궁 별빛야행,15,updated,latitude|longitude|source_modified_at|first_image_url|thumbnail_url,"{""latitude"": ""37.5760836609"", ""longitude"": ""126.9767375783"", ""source_modified_at"": ""2025-10-23 14:30:00+09:00"", ""first_image_url"": ""http://tong.visitkorea.or.kr/cms/resource/24/3349624_image2_1.png"", ""thumbnail_url"": ""http://tong.visitkorea.or.kr/cms/resource/24/3349624_image3_1.png""}","{""latitude"": ""37.5760307"", ""longitude"": ""126.9767218661"", ""source_modified_at"": ""2026-08-19 09:12:18+09:00"", ""first_image_url"": ""https://tong.visitkorea.or.kr/cms/resource/35/4100435_image2_1.jpg"", ""thumbnail_url"": ""https://tong.visitkorea.or.kr/cms/resource/35/4100435_image3_1.jpg""}",places_api_snapshot_11-110_20260810.csv,2026-08-21T23:48:01.792238+09:00
