content_id,title,중분류,소분류
yongsan_001,이태원 앤틱 가구거리,도시.지역문화관광,"골목길, 문화거리"
yongsan_002,패션5(Passion 5),카페/ 찻집,카페
yongsan_003,국립중앙박물관 어린이박물관,전시시설,박물관
yongsan_004,이태원시장,시장,상설시장
yongsan_005,용산가족공원,도시공원,주제공원
yongsan_006,새남터기념성당,종교성지,기독교
yongsan_007,남산서울타워,랜드마크관광,타워 / 전망대
yongsan_008,당고개순교성지,종교성지,기독교
yongsan_009,이태원 관광특구,복합관광시설,관광단지
yongsan_010,옛 용산신학교와 원효로 예수성심성당,종교성지,기독교
yongsan_011,서울 효창공원,도시공원,주제공원
yongsan_012,국립중앙박물관,전시시설,박물관
yongsan_013,숙명여자대학교 박물관,전시시설,박물관
yongsan_014,서울특별시교육청 남산도서관,교육시설,도서관
yongsan_015,서울특별시교육청 용산도서관,교육시설,도서관
yongsan_016,용산문화원,교육시설,한국문화원
yongsan_017,전쟁기념관,전시시설,기념관
yongsan_018,백범김구기념관,전시시설,기념관
yongsan_019,리움미술관,전시시설,미술관/화랑
yongsan_020,갤러리에스피,전시시설,미술관/화랑
yongsan_021,박여숙화랑,전시시설,미술관/화랑
yongsan_022,백해영갤러리,전시시설,미술관/화랑
yongsan_023,어반아트,전시시설,미술관/화랑
yongsan_024,주한독일문화원,교육시설,외국문화원
yongsan_025,그랜드하얏트 서울 아이스링크,육상레저스포츠,스케이트
yongsan_026,용산전자랜드,전문매장/상가,전문상가
yongsan_027,해밀톤 쇼핑센터,쇼핑몰,복합쇼핑몰
yongsan_028,유진막국수,한식,관광식당
yongsan_029,한쿡 N서울타워,한식,관광식당
yongsan_030,챠크라,외국식,기타외국식
yongsan_031,니와,외국식,일식
yongsan_032,더플레이스다이닝,외국식,서양식
yongsan_033,엔그릴,외국식,서양식
yongsan_034,그랜드 하얏트 서울,호텔,호텔
yongsan_035,해밀톤 호텔,호텔,호텔
yongsan_036,임피리얼 팰리스 부티크 호텔,호텔,호텔
yongsan_037,블루스퀘어,공연시설,공연장
yongsan_038,서빙고동 부군당,종교성지,기타 종교성지
yongsan_039,남산 야외식물원,자연공원,수목원ㆍ정원
yongsan_040,국립중앙박물관 전통염료식물원,자연공원,수목원ㆍ정원
yongsan_041,서울학도병참전기념비,역사유물,탑ㆍ비석ㆍ기념탑
yongsan_042,의열사(용산),역사유적지,사당
yongsan_043,레인보우호텔,모텔,모텔
yongsan_044,이봉창 의사 동상,랜드마크관광,동상
yongsan_045,이원등 상사상,랜드마크관광,동상
yongsan_046,케르반 레스토랑,외국식,기타외국식
yongsan_047,문배동 육칼,한식,관광식당
yongsan_048,서해금빛열차,기타체험,기타체험관광
yongsan_049,포포인츠 바이 쉐라톤 조선 서울역,호텔,호텔
yongsan_050,플랜트,외국식,퓨전음식
yongsan_051,기와,한식,관광식당
yongsan_052,숙명여자대학교 정영양자수박물관,전시시설,박물관
yongsan_053,카사블랑카,외국식,기타외국식
yongsan_054,스토리지북앤필름,기타문화관광지,서점
yongsan_055,이태원 이슬람거리,기타체험,기타체험관광
yongsan_056,레일크루즈 해랑열차,기타체험,기타체험관광
yongsan_057,크라운해태 키즈뮤지엄,산업관광,화장품/주류/먹거리
yongsan_058,텅앤그루브조인트,한식,관광식당
yongsan_059,서울로 7017,도시공원,시민공원
yongsan_060,아르모니움,외국식,서양식
yongsan_061,챔피언1250X 아이파크몰 용산점,기타체험,기타체험관광
yongsan_062,Jeong's family(정스패밀리),호스텔,게스트하우스
yongsan_063,큐브 게스트하우스,호스텔,게스트하우스
yongsan_064,식민지역사박물관,전시시설,박물관
yongsan_065,[백년가게]창성옥,한식,관광식당
yongsan_066,노들섬,기타문화관광지,기타문화시설
yongsan_067,이태원 우사단길,도시.지역문화관광,"골목길, 문화거리"
yongsan_068,casa cielo,호스텔,게스트하우스
yongsan_069,정스패밀리,호스텔,게스트하우스
yongsan_070,현대카드 바이닐앤플라스틱,전문매장/상가,전문상가
